;iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;tests_per_case;positive_rate;tests_units;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;mes
99;JPN;Asia;Japan;31/07/2020;33774;1315;1005;2;267;10.397;8;0.016;5348;1096847;8.672;0.042;15115;0.12;18.186;0.055;tests performed;NA;126476458;347.778;48.2;27.049;18.493;39.002.223;NA;79.37;5.72;11.2;33.7;NA;13.05;84.63;7
101;JOR;Asia;Jordan;31/07/2020;1191;4;11;0;117;0.392;1;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;10203140;109.285;23.2;3.81;2.361;8337.49;0.1;208.257;11.75;NA;NA;NA;1.4;74.53;7
102;KAZ;Asia;Kazakhstan;31/07/2020;89078;1414;793;0;4744;75.306;42;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;18776707;6.681;30.6;6.991;4.625;24.055.588;0.1;466.792;7.11;7;43.1;98.999;6.7;73.6;7
103;KEN;Africa;Kenya;31/07/2020;19913;788;325;14;370;14.655;6;0.26;8679;303959;5.653;0.161;5408;0.101;8.779;0.114;units unclear;78.7;53771300;87.324;20;2.686;1.528;2.993.028;36.8;218.637;2.92;1.2;20.4;24.651;1.4;66.7;7
105;KWT;Asia;Kuwait;31/07/2020;66529;626;445;1;15579;146.585;104;0.234;2920;505088;118.272;0.684;3668;0.859;5.513;0.181;tests performed;NA;4270563;232.128;33.7;2.345;1.114;65.530.537;NA;132.235;15.84;2.7;37;NA;2;75.49;7
106;KGZ;Asia;Kyrgyzstan;31/07/2020;35805;582;1378;14;5488;89.206;211;2.146;NA;NA;NA;NA;NA;NA;NA;NA;;NA;6524191;32.333;26.3;4.489;2.882;3.393.474;1.4;436.362;7.11;3.6;50.5;89.22;4.5;71.45;7
107;LAO;Asia;Laos;31/07/2020;20;0;0;0;3;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;11.11;7275556;29.715;24.4;4.029;2.322;6397.36;22.7;368.111;4;7.3;51.2;49.839;1.5;67.92;7
108;LVA;Europe;Latvia;31/07/2020;1228;4;31;0;651;2.121;16;0;1473;198508;105.242;0.781;1432;0.759;400.96;0.002;tests performed;NA;1886202;31.212;43.9;19.754;14.136;25.063.846;0.7;350.06;4.91;25.6;51;NA;5.57;75.29;7
109;LBN;Asia;Lebanon;31/07/2020;4334;129;57;2;635;18.9;8;0.293;NA;NA;NA;NA;NA;NA;NA;NA;;NA;6825442;594.561;31.1;8.514;5.43;13.367.565;NA;266.591;12.71;26.9;40.7;NA;2.9;78.93;7
110;LSO;Africa;Lesotho;31/07/2020;604;28;13;0;282;13.07;6;0;NA;NA;NA;NA;NA;NA;NA;NA;;71.3;2142252;73.562;22.2;4.506;2.647;2.851.153;59.6;405.126;3.94;0.4;53.9;2.117;NA;54.33;7
111;LBR;Africa;Liberia;31/07/2020;1181;2;73;1;234;0.395;14;0.198;NA;NA;NA;NA;NA;NA;NA;NA;;NA;5057677;49.127;19.2;3.057;1.756;752.788;38.6;272.509;2.42;1.5;18.1;1.188;0.8;64.1;7
112;LBY;Africa;Libya;31/07/2020;3222;205;71;4;469;29.834;10;0.582;NA;NA;NA;NA;NA;NA;NA;NA;;NA;6871287;3.623;29;4.424;2.816;17.881.509;NA;341.862;10.43;NA;NA;NA;3.7;72.91;7
113;LIE;Europe;Liechtenstein;31/07/2020;89;1;1;0;2334;26.221;26;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;38137;237.012;NA;NA;NA;NA;NA;NA;7.77;NA;NA;NA;2.397;82.49;7
114;LTU;Europe;Lithuania;31/07/2020;2062;19;80;0;757;6.979;29;0;NA;NA;NA;NA;3612;1.327;247.882;0.004;samples tested;NA;2722291;45.135;43.5;19.002;13.778;29.524.265;0.7;342.989;3.67;21.3;38;NA;6.56;75.93;7
115;LUX;Europe;Luxembourg;31/07/2020;6616;83;114;0;10569;132.593;182;0;4274;429501;686.13;6.828;4719;7.539;49.748;0.02;people tested;NA;625976;231.447;39.7;14.312;9.842;94.277.965;0.2;128.275;4.42;20.9;26;NA;4.51;82.25;7
116;MKD;Europe;Macedonia;31/07/2020;10623;119;480;4;5099;57.119;230;1.92;NA;NA;NA;NA;NA;NA;NA;NA;;NA;2083380;82.6;39.1;13.26;8.16;13.111.214;5;322.688;10.08;NA;NA;NA;4.28;75.8;7
117;MDG;Africa;Madagascar;31/07/2020;10748;431;105;6;388;15.565;4;0.217;NA;NA;NA;NA;NA;NA;NA;NA;;NA;27691019;43.951;19.6;2.929;1.686;1416.44;77.6;405.994;3.94;NA;NA;50.54;0.2;67.04;7
118;MWI;Africa;Malawi;31/07/2020;3981;123;109;2;208;6.43;6;0.105;NA;NA;NA;NA;NA;NA;NA;NA;;NA;19129955;197.519;18.1;2.979;1.783;1.095.042;71.4;227.349;3.94;4.4;24.7;8.704;1.3;64.26;7
119;MYS;Asia;Malaysia;31/07/2020;8964;8;124;0;277;0.247;4;0;7565;970644;29.99;0.234;6494;0.201;366.597;0.003;people tested;NA;32365998;96.254;29.9;6.293;3.407;26.808.164;0.1;260.942;16.74;1;42.4;NA;1.9;76.16;7
120;MDV;Asia;Maldives;31/07/2020;3719;152;16;1;6880;281.199;30;1.85;860;78900;145.965;1.591;1151;2.129;13.08;0.076;samples tested;NA;540542;1.454.433;30.6;4.12;2.875;15.183.616;NA;164.905;9.19;2.1;55;95.803;NA;78.92;7
121;MLI;Africa;Mali;31/07/2020;2522;1;124;0;125;0.049;6;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;20250834;15.196;16.4;2.519;1.486;2.014.306;NA;268.024;2.42;1.6;23;52.232;0.1;59.31;7
122;MLT;Europe;Malta;31/07/2020;749;28;9;0;1696;63.415;20;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;441539;1.454.037;42.4;19.426;11.324;36.513.323;0.2;168.711;8.83;20.9;30.2;NA;4.485;82.53;7
123;MRT;Africa;Mauritania;31/07/2020;6270;21;156;0;1348;4.516;34;0;NA;NA;NA;NA;NA;NA;NA;NA;;29.63;4649660;4.289;20.3;3.138;1.792;3.597.633;6;232.347;2.42;NA;NA;15.95;NA;64.92;7
124;MUS;Africa;Mauritius;31/07/2020;344;0;10;0;270;0;8;0;NA;NA;NA;NA;NA;NA;NA;NA;;22.22;1271767;622.962;37.4;10.945;5.884;20.292.745;0.5;224.644;22.02;3.2;40.7;NA;3.4;74.99;7
125;MEX;North America;Mexico;31/07/2020;416179;7730;46000;639;3228;59.954;357;4.956;4259;931145;7.222;0.033;8104;0.063;1.248;0.801;people tested;NA;128932753;66.444;29.3;6.857;4.321;17.336.469;2.5;152.783;13.06;6.9;21.4;87.847;1.38;75.05;7
126;MDA;Europe;Moldova;31/07/2020;23947;0;771;12;5936;0;191;2.975;NA;NA;NA;NA;NA;NA;NA;NA;;NA;4033963;123.655;37.6;10.864;6.955;5.189.972;0.2;408.502;5.72;5.9;44.6;86.979;5.8;71.9;7
127;MCO;Europe;Monaco;31/07/2020;120;0;5;0;3058;0;127;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;39244;19347.5;NA;NA;NA;NA;NA;NA;5.46;NA;NA;NA;13.8;86.75;7
128;MNG;Asia;Mongolia;31/07/2020;291;0;0;0;89;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;60.19;3278292;1.98;28.6;4.031;2.421;11.840.846;0.5;460.043;4.82;5.5;46.5;71.18;7;69.87;7
129;MNE;Europe;Montenegro;31/07/2020;3073;57;48;1;4893;90.755;76;1.592;NA;NA;NA;NA;NA;NA;NA;NA;;NA;628062;46.28;39.1;14.762;9.395;16.409.288;1;387.305;10.08;44;47.9;NA;3.861;76.88;7
131;MAR;Africa;Morocco;31/07/2020;23259;1046;346;12;630;28.339;9;0.325;21170;1252365;33.93;0.574;21013;0.569;29.448;0.034;people tested;NA;36910558;80.08;29.6;6.769;4.209;7.485.013;1;419.146;7.14;0.8;47.1;NA;1.1;76.68;7
132;MOZ;Africa;Mozambique;31/07/2020;1808;60;11;0;58;1.92;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;31255435;37.728;17.7;3.158;1.87;1.136.103;62.9;329.942;3.3;5.1;29.1;12.227;0.7;60.85;7
133;MMR;Asia;Myanmar;31/07/2020;353;0;6;0;6;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;76.85;54409794;81.721;29.1;5.732;3.12;5.591.597;6.4;202.104;4.61;6.3;35.2;79.287;0.9;67.13;7
134;NAM;Africa;Namibia;31/07/2020;2052;66;10;1;808;25.975;4;0.394;NA;NA;NA;NA;NA;NA;NA;NA;;48.15;2540916;3.078;22;3.552;2.085;9.541.808;13.4;243.811;3.94;9.7;34.2;44.6;NA;63.71;7
135;NPL;Asia;Nepal;31/07/2020;19547;274;52;3;671;9.404;2;0.103;10768;375416;12.885;0.37;5762;0.198;30.884;0.032;tests performed;NA;29136808;204.43;25;5.809;3.212;2.442.804;15;260.797;7.26;9.5;37.8;47.782;0.3;70.78;7
136;NLD;Europe;Netherlands;31/07/2020;53963;342;6140;0;3149;19.959;358;0;NA;NA;NA;NA;NA;NA;NA;NA;;39.81;17134873;508.544;43.2;18.779;11.881;48.472.545;NA;109.361;5.29;24.4;27.3;NA;3.32;82.28;7
137;NCL;Oceania;New Caledonia;31/07/2020;22;0;0;0;77;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;285491;15.342;33.4;9.954;6.489;NA;NA;NA;23.36;NA;NA;NA;NA;77.55;7
138;NZL;Oceania;New Zealand;31/07/2020;1210;0;22;0;251;0;5;0;3002;468068;97.065;0.623;2021;0.419;3536.75;0;tests performed;22.22;4822233;18.206;37.9;15.322;9.72;36.085.843;NA;128.797;8.08;14.8;17.2;NA;2.61;82.29;7
139;NIC;North America;Nicaragua;31/07/2020;3672;0;116;0;554;0;18;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;6624554;51.667;27.3;5.445;3.519;5.321.444;3.2;137.016;11.47;NA;NA;NA;0.9;74.48;7
140;NER;Africa;Niger;31/07/2020;1134;0;69;0;47;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;24206636;16.955;15.1;2.553;1.378;926;44.5;238.339;2.42;0.1;15.4;8.978;0.3;62.42;7
141;NGA;Africa;Nigeria;31/07/2020;42689;481;878;5;207;2.333;4;0.024;NA;NA;NA;NA;3835;0.019;7.176;0.139;samples tested;NA;206139587;209.588;18.1;2.751;1.447;5.338.454;NA;181.013;2.42;0.6;10.8;41.949;NA;54.69;7
142;MNP;Oceania;Northern Mariana Islands;31/07/2020;42;0;2;0;730;0;35;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;57557;119.878;NA;NA;NA;NA;NA;194.994;NA;NA;NA;NA;NA;76.74;7
143;NOR;Europe;Norway;31/07/2020;9172;22;255;0;1692;4.058;47;0;3821;433614;79.984;0.705;3730;0.688;237.364;0.004;people tested;NA;5421242;14.462;39.7;16.821;10.813;64.800.057;0.2;114.316;5.31;19.6;20.7;NA;3.6;82.4;7
144;OMN;Asia;Oman;31/07/2020;79159;590;421;9;15501;115.536;82;1.762;NA;NA;NA;NA;NA;NA;NA;NA;;NA;5106622;14.98;30.7;2.355;1.53;37.960.709;NA;266.342;12.61;0.5;15.6;97.4;1.6;77.86;7
145;PAK;Asia;Pakistan;31/07/2020;278305;903;5951;27;1260;4.088;27;0.122;NA;NA;NA;NA;24344;0.11;21.557;0.046;tests performed;66.67;220892331;255.573;23.5;4.495;2.78;5.034.708;4;423.031;8.35;2.8;36.7;59.607;0.6;67.27;7
146;PSE;Asia;Palestine;31/07/2020;14838;380;84;2;2909;74.489;16;0.392;NA;NA;NA;NA;NA;NA;NA;NA;;NA;5101416;778.202;20.4;3.043;1.726;4.449.898;1;265.91;10.59;NA;NA;NA;NA;74.05;7
147;PAN;North America;Panama;31/07/2020;64191;922;1397;23;14877;213.685;324;5.331;3098;220421;51.085;0.718;3168;0.734;3.007;0.333;tests performed;NA;4314768;55.133;29.7;7.918;5.03;22.267.037;2.2;128.346;8.33;2.4;9.9;NA;2.3;78.51;7
148;PNG;Oceania;Papua New Guinea;31/07/2020;72;9;2;0;8;1.006;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;8947027;18.22;22.6;3.808;2.142;3.823.194;NA;561.494;17.65;23.5;48.8;NA;NA;64.5;7
149;PRY;South America;Paraguay;31/07/2020;5207;341;47;1;730;47.809;7;0.14;NA;NA;NA;NA;NA;NA;NA;NA;;NA;7132530;17.144;26.5;6.378;3.833;8827.01;1.7;199.128;8.27;5;21.6;79.602;1.3;74.25;7
150;PER;South America;Peru;31/07/2020;407492;6809;19021;205;12359;206.51;577;6.217;NA;NA;NA;NA;NA;NA;NA;NA;;81.48;32971846;25.129;29.1;7.151;4.455;12.236.706;3.5;85.755;5.95;4.8;NA;NA;1.6;76.74;7
151;PHL;Asia;Philippines;31/07/2020;89374;3888;1983;21;816;35.481;18;0.192;36874;1435618;13.101;0.336;32151;0.293;15.02;0.067;people tested;76.85;109581085;351.873;25.2;4.803;2.661;7.599.188;NA;370.437;7.07;7.8;40.8;78.463;1;71.23;7
152;POL;Europe;Poland;31/07/2020;45031;615;1709;15;1190;16.25;45;0.396;22394;1931574;51.037;0.592;18747;0.495;38.026;0.026;people tested;39.81;37846605;124.027;41.8;16.763;10.202;27.216.445;NA;227.331;5.91;23.3;33.1;NA;6.62;78.73;7
153;PRT;Europe;Portugal;31/07/2020;50868;255;1727;2;4989;25.008;169;0.196;NA;NA;NA;NA;NA;NA;NA;NA;;NA;10196707;112.371;46.2;21.502;14.924;27.936.896;0.5;127.842;9.85;16.3;30;NA;3.39;82.05;7
154;PRI;North America;Puerto Rico;31/07/2020;16572;511;214;3;5793;178.619;75;1.049;NA;NA;NA;NA;NA;NA;NA;NA;;NA;2860840;376.232;38.2;15.168;9.829;35044.67;NA;108.094;12.9;NA;NA;NA;NA;80.1;7
155;QAT;Asia;Qatar;31/07/2020;110460;307;171;2;38340;106.558;59;0.694;2808;495377;171.943;0.975;4386;1.522;13.855;0.072;people tested;77.78;2881060;227.322;31.9;1.307;0.617;116935.6;NA;176.69;16.52;0.8;26.9;NA;1.2;80.23;7
156;ROU;Europe;Romania;31/07/2020;49591;1356;2304;35;2578;70.487;120;1.819;23451;1226058;63.732;1.219;24629;1.28;20.731;0.048;tests performed;NA;19237682;85.129;43;17.85;11.69;23.313.199;5.7;370.946;9.74;22.9;37.1;NA;6.892;76.05;7
157;RUS;Europe;Russia;31/07/2020;834499;5509;13802;129;5718;37.75;95;0.884;316551;28478012;195.142;2.169;266770;1.828;47.322;0.021;tests performed;NA;145934460;8.823;39.6;14.178;9.393;24.765.954;0.1;431.297;6.18;23.4;58.3;NA;8.05;72.58;7
158;RWA;Africa;Rwanda;31/07/2020;1994;58;5;0;154;4.478;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;12952209;494.869;20.3;2.974;1.642;1.854.211;56;191.375;4.28;4.7;21;4.617;NA;69.02;7
162;SMR;Europe;San Marino;31/07/2020;699;0;42;0;20596;0;1238;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;33938;556.667;NA;NA;NA;56861.47;NA;NA;5.64;NA;NA;NA;3.8;84.97;7
163;STP;Africa;Sao Tome and Principe;31/07/2020;870;2;15;0;3970;9.126;68;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;219161;212.841;18.7;2.886;2.162;3.052.714;32.3;270.113;2.42;NA;NA;41.34;2.9;70.39;7
164;SAU;Asia;Saudi Arabia;31/07/2020;274219;1629;2866;50;7877;46.792;82;1.436;60849;3341253;95.975;1.748;57659;1.656;29.194;0.034;units unclear;NA;34813867;15.322;31.9;3.295;1.845;49.045.411;NA;259.538;17.72;1.8;25.4;NA;2.7;75.13;7
165;SEN;Africa;Senegal;31/07/2020;10106;145;204;4;604;8.66;12;0.239;1374;110861;6.621;0.082;1353;0.081;11.275;0.089;tests performed;NA;16743930;82.328;18.7;3.008;1.796;2470.58;38;241.219;2.42;0.4;16.6;20.859;NA;67.94;7
166;SRB;Europe;Serbia;31/07/2020;25213;321;565;7;3705;47.174;83;1.029;9436;668984;98.314;1.387;9571;1.407;24.187;0.041;people tested;NA;6804596;80.291;41.2;17.366;NA;14.048.881;NA;439.415;10.08;37.7;40.2;97.719;5.609;76;7
167;SYC;Africa;Seychelles;31/07/2020;114;0;0;0;1159;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;33.33;98340;208.354;36.2;8.606;5.586;26.382.287;1.1;242.648;10.55;7.1;35.7;NA;3.6;73.4;7
168;SLE;Africa;Sierra Leone;31/07/2020;1818;15;67;0;228;1.88;8;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;7976985;104.7;19.1;2.538;1.285;1390.3;52.2;325.721;2.42;8.8;41.3;19.275;NA;54.7;7
169;SGP;Asia;Singapore;31/07/2020;51809;278;27;0;8856;47.519;5;0;NA;NA;NA;NA;NA;NA;NA;NA;;51.85;5850343;7.915.731;42.4;12.922;7.049;85.535.383;NA;92.243;10.99;5.2;28.3;NA;2.4;83.62;7
170;SXM;North America;Sint Maarten (Dutch part);31/07/2020;128;7;15;0;2985;163.239;350;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;42882;1.209.088;NA;NA;NA;36.327.232;NA;NA;NA;NA;NA;NA;NA;78.95;7
171;SVK;Europe;Slovakia;31/07/2020;2265;20;28;0;415;3.663;5;0;2176;261562;47.908;0.399;1590;0.291;63.239;0.016;tests performed;NA;5459643;113.128;41.2;15.07;9.167;30.155.152;0.7;287.959;7.29;23.1;37.7;NA;5.82;77.54;7
172;SVN;Europe;Slovenia;31/07/2020;2139;24;117;0;1029;11.544;56;0;892;131053;63.039;0.429;769;0.37;50.783;0.02;tests performed;NA;2078932;102.619;44.5;19.062;12.93;31400.84;NA;153.493;7.25;20.1;25;NA;4.5;81.32;7
173;SOM;Africa;Somalia;31/07/2020;3212;0;93;0;202;0;6;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;15893219;23.5;16.8;2.731;1.496;NA;NA;365.769;6.05;NA;NA;9.831;0.9;57.4;7
174;ZAF;Africa;South Africa;31/07/2020;482169;11046;7812;315;8130;186.246;132;5.311;41486;2959535;49.901;0.699;39292;0.662;3.711;0.269;people tested;NA;59308690;46.754;27.3;5.344;3.053;12.294.876;18.9;200.38;5.52;8.1;33.2;43.993;2.32;64.13;7
176;SSD;Africa;South Sudan;31/07/2020;2322;0;46;0;207;0;4;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;11193729;NA;19.2;3.441;2.032;1.569.888;NA;280.775;10.43;NA;NA;NA;NA;57.85;7
177;ESP;Europe;Spain;31/07/2020;288522;3092;28445;2;6171;66.132;608;0.043;NA;NA;NA;NA;NA;NA;NA;NA;;NA;46754783;93.105;45.5;19.436;13.799;34272.36;1;99.403;7.17;27.4;31.4;NA;2.97;83.56;7
178;LKA;Asia;Sri Lanka;31/07/2020;2814;3;11;0;131;0.14;1;0;NA;NA;NA;NA;NA;NA;NA;NA;;50;21413250;341.955;34.1;10.069;5.331;11.669.077;0.7;197.093;10.68;0.3;27;NA;3.6;76.98;7
179;SDN;Africa;Sudan;31/07/2020;11496;0;725;0;262;0;17;0;NA;NA;NA;NA;NA;NA;NA;NA;;71.3;43849269;23.258;19.7;3.548;2.034;4.466.507;NA;431.388;15.67;NA;NA;23.437;0.8;65.31;7
180;SUR;South America;Suriname;31/07/2020;1650;43;26;0;2813;73.3;44;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;586634;3.612;29.6;6.933;4.229;13.767.119;NA;258.314;12.54;7.4;42.9;67.779;3.1;71.68;7
182;SWE;Europe;Sweden;31/07/2020;80100;318;5739;9;7931;31.487;568;0.891;NA;NA;NA;NA;NA;NA;NA;NA;;NA;10099270;24.718;41;19.985;13.433;46.949.283;0.5;133.982;4.79;18.8;18.9;NA;2.22;82.8;7
183;CHE;Europe;Switzerland;31/07/2020;34933;219;1703;1;4036;25.304;197;0.116;5646;799366;92.363;0.652;5406;0.625;37.1;0.027;tests performed;39.35;8654618;214.243;43.1;18.436;12.644;57.410.166;NA;99.739;5.59;22.6;28.9;NA;4.53;83.78;7
184;SYR;Asia;Syria;31/07/2020;738;21;41;1;42;1.2;2;0.057;NA;NA;NA;NA;NA;NA;NA;NA;;61.11;17500657;NA;21.7;NA;2.577;NA;NA;376.264;NA;NA;NA;70.598;1.5;72.7;7
186;TJK;Asia;Tajikistan;31/07/2020;7366;46;60;0;772;4.823;6;0;NA;NA;NA;NA;NA;NA;NA;NA;;45.37;9537642;64.281;23.3;3.466;2.155;2.896.913;4.8;427.698;7.11;NA;NA;72.704;4.8;71.1;7
187;TZA;Africa;Tanzania;31/07/2020;509;0;21;0;9;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;22.22;59734213;64.699;17.7;3.108;1.874;2.683.304;49.1;217.288;5.75;3.3;26.7;47.953;0.7;65.46;7
188;THA;Asia;Thailand;31/07/2020;3310;6;58;0;47;0.086;1;0;2682;375346;5.377;0.038;1926;0.028;434.903;0.002;people tested;NA;69799978;135.132;40.1;11.373;6.89;16.277.671;0.1;109.861;7.04;1.9;38.8;90.67;2.1;77.15;7
189;TLS;Asia;Timor;31/07/2020;24;0;0;0;18;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;1318442;87.176;18;3.556;1.897;6.570.102;30.3;335.346;6.86;6.3;78.1;28.178;5.9;69.5;7
190;TGO;Africa;Togo;31/07/2020;927;31;18;0;112;3.745;2;0;474;42533;5.138;0.057;386;0.047;27.293;0.037;tests performed;NA;8278737;143.366;19.4;2.839;1.525;1.429.813;49.2;280.033;6.15;0.9;14.2;10.475;0.7;61.04;7
191;TTO;North America;Trinidad and Tobago;31/07/2020;164;8;8;0;117;5.716;6;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;1399491;266.886;36.2;10.014;5.819;28.763.071;NA;228.467;10.97;NA;NA;89.443;3;73.51;7
192;TUN;Africa;Tunisia;31/07/2020;1514;26;50;0;128;2.2;4;0;99;92960;7.866;0.008;920;0.078;59.63;0.017;tests performed;NA;11818618;74.228;32.7;8.001;5.075;10.849.297;2;318.991;8.52;1.1;65.8;78.687;2.3;76.7;7
193;TUR;Asia;Turkey;31/07/2020;229891;967;5674;15;2726;11.466;67;0.178;44846;4845669;57.455;0.532;50901;0.604;54.183;0.018;tests performed;NA;84339067;104.914;31.6;8.153;5.061;25.129.341;0.2;171.285;12.13;14.1;41.1;NA;2.81;77.69;7
197;ARE;Asia;United Arab Emirates;31/07/2020;60506;585;351;4;6118;59.148;35;0.404;54727;5076384;513.264;5.533;50301;5.086;139.836;0.007;samples tested;NA;9890400;112.442;34;1.144;0.526;67.293.483;NA;317.84;17.26;1.2;37.4;NA;1.2;77.97;7
195;UGA;Africa;Uganda;31/07/2020;1147;7;2;0;25;0.153;0;0;2550;275355;6.02;0.056;2443;0.053;237.514;0.004;samples tested;76.85;45741000;213.759;16.4;2.168;1.308;1.697.707;41.6;213.333;2.5;3.4;16.7;21.222;0.5;63.37;7
196;UKR;Europe;Ukraine;31/07/2020;68794;1197;1673;23;1573;27.37;38;0.526;15427;1029220;23.534;0.353;13173;0.301;13.281;0.075;units unclear;37.96;43733759;77.39;41.4;16.462;11.133;7.894.393;0.1;539.849;7.11;13.5;47.4;NA;8.8;72.06;7
198;GBR;Europe;United Kingdom;31/07/2020;302301;846;45999;38;4453;12.462;678;0.56;147002;9562383;140.859;2.165;128341;1.891;232.201;0.004;tests performed;64.35;67886004;272.898;40.8;18.517;12.527;39.753.244;0.2;122.137;4.28;20;24.7;NA;2.54;81.32;7
199;USA;North America;United States;31/07/2020;4495014;68032;152070;1357;13580;205.533;459;4.1;718956;55372983;167.289;2.172;790698;2.389;12.009;0.083;units unclear (incl. non-PCR);NA;331002647;35.608;38.3;15.413;9.732;54.225.446;1.2;151.089;10.79;19.1;24.6;NA;2.77;78.86;7
201;URY;South America;Uruguay;31/07/2020;1243;6;35;0;358;1.727;10;0;2586;113537;32.684;0.744;1995;0.574;136.912;0.007;tests performed;NA;3473727;19.751;35.6;14.655;10.361;20.551.409;0.1;160.708;6.93;14;19.9;NA;2.8;77.91;7
202;UZB;Asia;Uzbekistan;31/07/2020;23558;686;137;5;704;20.496;4;0.149;NA;NA;NA;NA;NA;NA;NA;NA;;NA;33469199;76.134;28.2;4.469;2.873;6.253.104;NA;724.417;7.57;1.3;24.7;NA;4;71.72;7
203;VAT;Europe;Vatican;31/07/2020;12;0;0;0;14833;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75.12;7
204;VEN;South America;Venezuela;31/07/2020;17859;1288;158;7;628;45.295;6;0.246;NA;NA;NA;NA;NA;NA;NA;NA;;86.11;28435943;36.253;29;6.614;3.915;16.745.022;NA;204.85;6.47;NA;NA;NA;0.8;72.06;7
205;VNM;Asia;Vietnam;31/07/2020;509;50;0;0;5;0.514;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;75.46;97338583;308.127;32.6;7.15;4.718;6.171.884;2;245.465;6;1;45.9;85.847;2.6;75.4;7
206;ESH;Africa;Western Sahara;31/07/2020;766;0;1;0;1282;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;597330;NA;28.4;NA;1.38;NA;NA;NA;NA;NA;NA;NA;NA;70.26;7
207;YEM;Asia;Yemen;31/07/2020;1726;15;487;2;58;0.503;16;0.067;NA;NA;NA;NA;NA;NA;NA;NA;;NA;29825968;53.508;20.3;2.922;1.583;1.479.147;18.8;495.003;5.35;7.6;29.2;49.542;0.7;66.12;7
208;ZMB;Africa;Zambia;31/07/2020;5555;306;149;3;302;16.645;8;0.163;NA;NA;NA;NA;NA;NA;NA;NA;;NA;18383956;22.995;17.7;2.48;1.542;3.689.251;57.5;234.499;3.94;3.1;24.7;13.938;2;63.89;7
209;ZWE;Africa;Zimbabwe;31/07/2020;3092;213;53;12;208;14.331;4;0.807;NA;NA;NA;NA;NA;NA;NA;NA;;NA;14862927;42.729;19.6;2.822;1.882;1.899.775;21.4;307.846;1.82;1.6;30.7;36.791;1.7;61.49;7
210;OWID_WRL;;World;31/07/2020;17301623;290464;673279;6430;2220;37.264;86;0.825;NA;NA;NA;NA;NA;NA;NA;NA;;NA;7794798729;58.045;30.9;8.696;5.355;15.469.207;10;233.07;8.51;6.434;34.635;60.13;2.705;72.58;7
